prompt,completion
"Ångrat bud

###

"," Om du leder budgivningen på auktionen så behöver vi få in båda parters godkännande på att ta bort budet, då bud på Tradera alltid är bindande.Du kan kontakta säljaren via Traderameddelande för att få ett godkännande att ta bort budet, vi godkänner endast borttagning av bud om ni antingen fått ett godkännande via Traderameddelande eller att säljaren hör av sig till vår kundservice och godkänner. Ett godkännande via SMS, Samtal eller E-post räcker alltså inte och vi kommer inte att kunna ta bort ett bud baserat på ett sådant underlag.Efter att du fått ok från säljaren kan du kontakta vår kundservice så hjälper vi dig att ta bort budet. Vill du veta hur man avbryter ett redan genomfört köp? Läs mer här.###"
"Vad innebär de olika tillvalen på säljsidan?

###

"," Köp Nu pris – Denna funktion finns under ”Auktion utropspris” och den låter dig lägga upp en auktion som även har ett fast pris. Så länge din auktion inte har fått bud kan en köpare välja att köpa den direkt för det pris du satt som Köp nu-pris. Möjligheten att köpa auktionen för Köp nu-priset försvinner dock så fort auktionen fått sitt första bud.Reservationspris – Även denna funktion finns under ”Auktion utropspris” och är främst till för varor där du vill sätta ett lågt utrop men samtidigt vara helt säker på att du inte får vinnande bud under en viss summa. Alla bud under det reservationspris som du sätter räknas som ej vinnande och får du inga bud som är lika högt eller över ditt reservationspris så avslutas auktionen som osåld.Highlight – Denna funktion finns under ”Fler auktionsalternativ”och ger din annons en ökad synlighet i sökresultatlistan genom att markera annonsens rubrik med gul bakgrund.Utvalt objekt – Även denna funktion finns under ”Fler auktionsalternativ”och gör att din annons hamnar högre upp i sökresultatlistan.Välj sluttid – Denna funktion finns där man väljer annonslängd. Med denna funktion kan du välja ett exakt klockslag då du vill att din auktion ska avslutas.Starta om annons automatiskt – Även denna funktion finns där man väljer annonslängd. Väljer du denna funktion kommer din annons att startas om automatiskt upp till två gånger om den inte blir såld. Själva funktionen i sig är kostnadsfri, men om du har valt några tillval som kostar pengar kommer de att tillkomma vid varje omstart.Läs mer om tillval.###"
"Hur skaffar jag ProLister?

###

", Du hittar den nya versionen av prolister på https://prolister.tradera.com/Den nya versionen av ProLister är internet baserad tjänst så du behöver inte installera något program för att komma igång. Vill du lära dig mer om ProLister? Kolla in vår guide###
"Hur avslutar jag mitt konto?

###

"," Om du önskar avsluta ditt konto så kan du göra det inne på inställningar som du hittar här, det går i dagsläget inte att avsluta kontot från appen utan du behöver logga in via en webläsare på din telefon eller dator. Du kan inte avsluta kontot om:Du har en obetald fakturaDu har en aktiv annonsDu leder en budgivning###"
"Hur får jag en avgift krediterad?

###

"," Har du inte fått betalt för en såld vara har du möjlighet att starta om annonsen och rapportera utebliven försäljning via sålda listan.När du rapporterar utebliven försäljning så väljer du om du vill rapportera köparen eller inte.Om du inte väljer att rapportera så kommer köparen att få ett bekräftelsemail, så snart denne har klickat ja på bekräftelsen så krediteras avgiften.Om du väljer att rapportera köparen så får denne en prick, vid upprepade rapporter så kan köparens konto komma att stängas av i 1-6 månader beroende på antalet rapporter och tidigare historik. Avgiften krediteras automatiskt när du rapporterat köparen.Detta gäller även för butiksannonser.Här kan du läsa mer om rapportering av utebliven försäljning###"
"Varför har jag fått en avgift för en vara som ej har sålts?

###

"," Det kan tillkomma avgifter för osålda annonser i två fall. Har du haft fler än 100 upplagda annonser denna månad så är avgiften en osåltavgift. För att lära dig mer om osåltsavgift, läs mer här. Det andra fallet är om du valt några frivilliga tillval till din annons. Kostnaden för tillvalen registreras vid publicering av annonsen och debiteras sedan på fakturan oavsett om annonsen blir såld eller ej. Vill du veta mer om tillval, klicka här.###"
"Vad är Tradera butik?

###

"," Det finns flera olika butiker för dig som säljer på Tradera. Vi har butiker som är anpassade för dig som har ett lager av flera identiska varor, för dig som säljer samlar objekt eller har många varor till ett lågt pris. Klicka här för att läsa mer om butik för företag på Tradera.Klicka här för att läsa mer om butik för privatpersoner. ###"
"Vilka uppgifter sparas när jag använder Tink?

###

", Vi sparar endast det kontonummer du väljer att dina utbetalningar ska gå till. Ingen annan information sparas eller hämtas av oss när du använder Tink på vår sida.###
"Hur fungerar Köp Nu-pris?

###

", Om du väljer att använda Köp Nu-funktionen på din auktion så kommer din auktion förutom ett utropspris även ha ett fast pris som man kan välja att köpa den för istället för att lägga bud.Observera att ditt Köp Nu-pris försvinner så fort någon lägger ett bud som är över eventuellt reservationspris. Då försvinner möjligheten att köpa auktionen direkt till ett fast pris och den blir då som en vanlig auktion.###
"Butik för privatpersoner - Specialbutiker

###

", För samtliga butiker gäller en månads uppsägningstid. Utöver månadskostnaden för butiken tillkommer avgifter enligt ordinarie prislista.Du hittar vår butikslista för privatpersoner härVill du veta mer? Kontakta vår kundservice så hjälper vi dig. ###
"Klarna hänvisar mig till att kontakta Tradera innan jag får starta en tvist, vad innebär det?

###

"," Mailet från Klarna är ett standard mail som används på alla sidor där man kan betala med Klarna. När du betalat med Klarna på Tradera så syftar mailet på säljaren som du köpt varan av, inte Tradera. Detta fungerar alltså som en vanlig tvist på Tradera där steg 1 alltid är att kontakta din motpart för att se om ni kan hitta en lösning tillsammans då det oftast leder till en bättre upplevelse för båda parter.Om säljaren inte svarar eller om ni inte kommer fram till en lösning så kan du klicka i ja på att du kontaktat Tradera. Här kan du läsa mer om tvister.###"
"Jag har fått en vara som inte stämmer överens med beskrivningen

###

"," Säljaren har alltid en skyldighet att beskriva objektet i annonsen på ett fullgott sätt, inklusive saker som skick, eventuella brister och liknande. Om objektet du mottagit inte stämmer överens med objektsbeskrivningen, bilder eller övriga upplysningar som säljaren lämnat innan köpet kan detta ge dig rätt att exempelvis få varan åtgärdad eller att returnera den och få tillbaka det du har betalat. Som köpare har du också en skyldighet att noga kontrollera annonsen och all information innan du genomför köpet.Vilka regler som gäller exakt för din situation beror på om säljaren är privatperson eller näringsidkare. Du som köpare har fler rättigheter om du handlat av en näringsidkare då er affär täcks av Konsumentköpslagen.Ta kontakt med säljaren, gärna via vår meddelande funktion, för att tillsammans försöka hitta en lösning. Du hittar säljarens uppgifter i Mitt Tradera – Mina köp.Skulle du inte få kontakt med säljaren så är du välkommen att kontakta vår kundservice.Har du använt ett av våra integrerade betalningsalternativ med köpskydd har du även möjlighet att ansöka om återbetalning.###"
"Kan jag ändra namn på mitt konto till en annan person?

###

", Det namn som är registrerat på kontot behöver stämma överens med det registrerade personnumret. Vid registrering av konto på Tradera kontrollerar vi alltid att de angivna personuppgifterna stämmer överens med folkbokföringen. Det registrerade personnumret kan sedan inte ändras.Det är inte heller möjligt att överlåta ditt konto till en annan privatperson eller till ett företag. ###
"Jag har inte BankID, vad ska jag göra?

###

", I de fall Tradera ber dig om en BankID-verifiering kan åtgärden endast slutföras med BankID. Om du inte har ett BankID rekommenderar vi dig att skaffa ett sådant genom att kontakta din bank. Vi använder BankID-legitimering för att skydda dig och ditt konto och skapa en tryggare upplevelse för alla som vill göra affärer på sajten.###
"Mitt personnummer finns redan hos er

###

"," Det beror på att du tidigare registrerat ett konto hos oss. Du kan beställa ett nytt lösenord och logga in med det om du har kvar samma e-postadress. Skulle du inte ha kvar samma e-postadress, kan du ändra denna med hjälp av BankID. Om du inte har BankID eller om du inte känner igen att du tidigare varit registrerad, är det bäst att kontakta vår kundservice.Beställ nytt lösenord genom att klicka på ”Logga in” högst upp på sajten och sedan på ”Glömt dina uppgifter”, eller genom att klicka här.Ändra mejladress genom att klicka på ""Logga in"" högst upp på sajten och sedan på ""Glömt dina uppgifter"", eller genom att klicka här. Logga sedan in genom att klicka på ”Logga in” högst upp på sajten, eller genom att klicka här.###"
"Hur fungerar en auktion?

###

"," De flesta objekt på Tradera säljs via auktionsformatet. Det innebär att du sätter ett utropspris på ditt objekt och säljer till högstbjudande. På så vis får du alltid ut det högsta möjliga priset för ditt objekt, eftersom priset bestäms av efterfrågan. Auktionen avslutas när tiden gått ut.Läs mer i vår säljarguideVanliga frågor och svar för nya säljare ###"
"FAQ om incidenten 2022-12-29

###

"," Vad är det som har hänt?Vi uppmärksammade under gårdagskvällen att det lagts bud på annonser från användare där personen själv inte lagt budet. Det verkar vara användare som fått sina konton kapade där någon med oärliga intentioner har lagt buden för att sabotera. Allt vi vet hittills tyder på att inga uppgifter har läckt från Tradera utan vår bedömning är att det rör sig om inloggningsuppgifter som läckt från andra tjänster där man använder samma inloggningsuppgifter på flera sajter. Samtliga drabbade användare, såväl de som fått sitt konto kapat som säljare som fått bud lagda på sina annonser ska ha fått ett mejl från oss med information om det inträffade.Behöver jag som köpare eller säljare vara orolig?Nej, man behöver inte vara orolig. Inga pengar, varor eller annat har bytt ägare. Alla påverkade annonser är åtgärdade och antingen är buden är borttagna eller så har annonsen avslutats.Vad ska man göra om man fått felaktiga bud?Vi har identifierat alla drabbade annonser och kommer att rätta dem från vår sida. Ingen åtgärd krävs från varken köpare eller säljare.Vad tar ni för åtgärder?Så snart vi uppmärksammade problemet lade vi till BankID verifiering på all budgivning på sajten. Vi avaktiverade de drabbade användarnas konton tillfälligt för att förhindra fortsatt aktivitet från dem. Vi har också tagit bort de bud som lagts felaktigt på annonser.Jag blev överbjuden på en annons, men har nu högsta budet igen. Vad gäller då?Har man en gång blivit överbjuden i en annons är ens bud inte längre bindande. Om det inte inkommer fler bud i annonsen och man vinner den har man möjlighet att se sig själv som köpare, alternativt avstå från affären. I de fall det inte blir en affäre kan säljaren häva köpet och slippa provisionsavgiften.Vad händer med mina uppläggningsavgifter nu när ni stängt ned mina annonser?De nedstängda annonserna räknas in i dina upplägg under en månad. För drabbade säljare har vi skickat med en kampanjkod i mejlet med information om gårdagens händelser som för de allra flesta användarna är generös i förhållande till det som inträffat.###"
"När får jag min faktura?

###

"," Vi fakturerar i början på varje månad, fakturan avser då dina avgifter från föregående månad.Du kan alltid se dina pågående avgifter och fakturor inne på ”Fakturor”.Klicka här för att komma direkt dit.  ###"
"Kan jag få kreditering för en avgift?

###

"," Om en köpare inte fullföljer sitt köp kan du anmäla utebliven försäljning och starta om annonsen på nytt. Om du kommit överens med köparen om att häva köpet så väljer du att inte rapportera, i detta fall kommer köparen få en förfrågan om att häva köpet och avgiften krediteras så fort den godkänts. Om ni inte kommit överens eller om köparen inte betalar eller svarar på meddelanden kan du välja att rapportera köparen. Avgiften krediteras då automatiskt och köparen får en prick i systemet. Om en köpare får fler rapporter kan dennes konto komma att stängas av mellan 1-6 månader. Läs mer om utebliven försäljning###"
"Hur lägger jag till en butikslogga?

###

"," Du gör detta genom att gå in på inställningar under din profil, eller klicka här. ###"
"Musikhjälpen 2022

###

", Nu börjar årets Musikhjälpen och som vanligt kan du vara med och bidra till en god sak genom att antingen köpa eller sälja på siten.Vi har samlat all information som du behöver på denna sida###
"Hur vet jag att jag fått betalt?

###

", När du använder dig av Traderabetalning kan du alltid se om du har fått betalt på sidan Betalningar &amp; Avgifter. Detta gäller för alla betalsätt förutom Swish som går utanför Tradera.Du får även ett meddelande via e-post när betalningen är genomförd.###
"Lägga till/ändra kontonummer för Traderabetalning

###

"," Du kan antingen skriva in kontonumret manuellt eller importera det direkt via Tink om du inte har uppgifterna tillgängliga. Detta gör du inne på utbetalningarDu behöver ha ditt BankID tillgängligt för att kunna bekräfta ändringen.Använd gärna guiden ""Så fyller du i dina kontouppgifter"" som du hittar på denna sida. Om du ändå inte lyckas lägga in ditt kontonummer så rekommenderar vi att du väljer Importera via Tink.###"
"Kan jag ändra mitt användarnamn?

###

", Du kan ändra ditt användarnamn en gång var 6e månad inne på InställningarAnvändarnamnet får inte ha använts på ett annat konto de senaste 6 månadernaStötande/kränkande eller andra olämpliga användarnamn kan leda till avstängningDet är inte tillåtet att använda någons registrerade varumärke i ditt användarnamn###
"Min utbetalning granskas, varför då?

###

"," I vanliga fall genomförs din utbetalning inom 72 timmar från att köparen betalade. I vissa fall kan Tradera komma att granska utbetalningen för att säkerställa att allt står rätt till, i dessa särskilda fall kommer utbetalningen att dröja längre. Vilka utbetalningar som granskas avgörs slumpmässigt.Så snart vi har fått in tillräckligt med underlag från säljaren kommer utbetalningen att genomföras. Vi gör det här för att skapa en trygg marknadsplats för både köpare och säljare, men även för att följa lagar och regler för t.ex. penningtvätt.Om din utbetalning granskas kommer vi skicka mer information till dig.Läs mer om vad granskningen innebär här.###"
"Hur får jag betalt genom Traderabetalning?

###

"," Om köparen betalar med något alternativ för Traderabetalning får du pengarna insatt på ditt bankkonto inom 1-2 bankdagar. Annonsavgiften dras då direkt på den summan innan pengarna betalas ut. Smidigt!Om köparen betalar med Swish går pengarna direkt till ditt konto. Om det finns inbetalad försäljning på ditt saldo under månaden så dras avgiften på det, annars skickas en faktura ut i slutet av månaden. Du anger bankkonto och hittar dina utbetalningar under Betalningar &amp; AvgifterTraderabetalning innefattar kortbetalning, Apple/Google Pay, Klarna, Paynova eller PayPal. Du behöver inte själv ha ett PayPal konto eftersom vi sätter in beloppet på ditt bankkonto.Du behöver alltså inte skicka någon betalningsinfo till köparen, det sköter Tradera åt dig. När köparen betalar med Swish är belopp, objekt och ditt mobilnummer förifyllt i deras Swishbetalning.###"
"Vilka betalsätt rekommenderar Tradera?

###

"," Alla säljare har numera Traderabetalning. Du betalar då på Tradera och väljer själv om du vill betala med Swish, Klarna, kort, Paynova, Google Pay, Apple Pay eller PayPal. Vi sätter sedan in pengarna automatiskt på säljarens bankkonto, oavsett hur du har betalat. Säljarens identitet verifieras av oss med BankID innan utbetalning.Swish direkt till säljarens telefonnummer går inte via Tradera och det är därför du inte kan välja till köparskydd för det betalningsalternativet. Vid köp av dyrare varor rekommenderar vi att du väljer till köparskydd.###"
"Köparen har betalat med faktura, vad innebär det för mig som säljare?

###

"," När det kommer till utbetalning för dig som säljare så innebär det ingen skillnad om köparen betalat med faktura, kort, Klarna, Google/Apple Pay, Paynova eller PayPal. Du får pengarna som vanligt inom 1-2 bankdagar och köparen betalar till Klarna eller Paynova.Om du genomför en återbetalning för en vara som betalats med Paynova så kommer Paynova återbetala köparen och skicka en faktura till dig på beloppet. ###"
"Klarna FAQ

###

"," Klarna lanserades som ett betalningsalternativ på Tradera den 10/11 2022. I denna guide hittar du vanliga frågor och svar om vad detta innebära för dig.Q: Innebär det att andra betalsätt kommer försvinna?A: Nej, vi har inga planer på att ta bort något betalsätt.Q: I Klarnas checkout ingår Swish, kommer Swish betalningar nu att gå via Klarna?A: Nej, betalningar med Swish fungerar precis som innan lanseringen, antingen direkt till säljaren eller via Tradera. Q: Ingår det köparskydd om jag betalar med Klarna?A: Ja, köparskydd är alltid med när du betalar med Klarna och kostar 5% av transaktionskostnaden, max 750 kr. Det funkar alltså på samma sätt som att betala med Paynova eller PayPal.Q: Blir jag automatiskt registrerad hos Klarna när jag köper något på Tradera?A: Nej du blir endast registrerad hos Klarna om du väljer att betala med Klarna. Q: Hur gör jag för att använda mitt köparskydd?A: Du startar ett ärende hos Klarna.Frågor och svar för dig som säljer på Tradera:Q: Behöver säljaren vänta på utbetalningen om köparen väljer att betala senare?A: Nej, utbetalningen kommer inom 1-2 bankdagar precis som med alla andra betalsätt.Q: Finns det säljarskydd om köparen väljer Klarna?A: Ja, precis som på övriga betalningssätt med köparskydd så har säljaren även ett säljarskydd. För att vara skyddad som säljare så behöver du använda ett spårningsbart fraktsätt oavsett vilket köparskydd som valts.Q: Registreras mina uppgifter hos Klarna om en av mina kunder betalar med Klarna?A: Nej, vi skickar inga uppgifter om dig som säljare, det är endast om du själv väljer att betala med Klarna som dina uppgifter registreras hos dem. Fler vanliga frågor och svar kommer att tillkomma, du hittar mer information om Klarna här.###"
"Hur ställer jag in samfraktsregler i varukorgen? (Sello/Butiksannons)

###

", Kontakta vår kundservice så hjälper vi dig!De samfraktsregler som finns i dagsläget är:Jag erbjuder fri frakt för hela mitt sortimentKöparen betalar endast frakt för den vara i ordern med högst fraktprisKöparen betalar frakt för samtliga artiklar i ordern (sammanslagning) - Detta val innebär att du inte erbjuder samfraktJag erbjuder fri frakt för alla ordrar som uppgår till minst x krDe samfraktsregler du anger ska även läggas till i Sello.###
"Vad händer om jag inte betalar min faktura?

###

", Våra fakturor förfaller 30 dagar efter att fakturan har skapats. Om du inte betalar din faktura i tid debiteras en påminnelseavgift på 60 kr som läggs på din befintliga faktura.Om du fortfarande inte har betalat din faktura skickas denna till vår inkassopartner Intrum. Alla konton vars fakturor har skickats till Intrum kommer att vara avstängda på sajten tills ärendet hos Intrum är avslutat. När Intrum avslutat ärendet öppnas kontot automatiskt.Har din faktura gått vidare till Intrum behöver du vända dig till dem för vidare information om ärendet. Du når deras kundservice på: 08-616 76 66.###
"Hur tar jag bort ett omdöme?

###

"," Negativt omdöme som du lämnat: Vi kan ta bort ett negativt omdöme som du lämnat om du kontaktar vår kundservice och BankID verifierar dig.Negativt omdöme som du fått: Kan endast tas bort via funktionen ”Gemensamt återkallande av omdömen”. Du hittar funktionen via din omdömessida, bredvid ditt mottagna eller lämnade negativa omdöme.Positivt omdöme:Positiva omdömen tas i regel inte bort. Om både köpare och säljare är överens om att ta bort ett positivt omdöme kan det raderas. Båda parter behöver då kontakta vår Kundservice eller om du fått det godkänt via Traderameddelanden av motpart.Omdöme som strider mot reglerna: Om ett omdöme inte efterföljer våra regler så kan vi radera omdömet.OBS! När vi tagit bort ett omdöme så kommer du inte ha möjlighet att lämna ett nytt omdöme på din motpart.Läs mer om våra omdömesregler här.###"
"Vilka olika annonsformat finns?

###

"," Det finns fyra olika typer av annonser på Tradera:Auktion – En auktion pågår mellan 3-14 dagar. Säljaren bestämmer ett utropspris, därefter är det budgivning som gäller. Den som har det högsta budet när auktionen slutar vinner den.Auktion med Köp Nu – En auktion med Köp Nu fungerar på samma sätt som ovan, med skillnaden att säljaren satt ett ”Köp Nu”-pris. Köp Nu-priset finns tillgängligt så länge inget vinnande bud finns i auktionen. Om ett bud inkommer försvinner Köp Nu-priset och det övergår till en vanlig auktion.Köp Nu – En fastprisannons ligger automatiskt ute i 30 dagar eller tills den blir köpt. Annonsen innehåller endast ett fast pris, ingen budgivning.Butiksannons – En butiksannons liknar en fastprisannons, men endast företagssäljare med butik kan skapa butiksannonser. Skillnaden mot fast pris är att säljaren kan lägga till ett lagersaldo och annonsen avslutas inte förrän lagersaldot är slut eller säljaren själv stänger ned den.Du kan läsa mer om hur du säljer på Tradera här###"
"Köparen har inte betalat för varan. Hur gör jag?

###

"," Som första steg rekommenderar dig att ta kontakt med köparen via vår meddelande funktion. Du hittar köparens uppgifter i  ""Sålda"" och ""Visa orderbekräftelse"". Om du redan varit i kontakt med köparen och denne inte vill slutföra affären eller om du inte får svar så kan du anmäla utebliven försäljning så kommer avgiften krediteras automatiskt. Du anmäler utebliven försäljning under ""Sålda"", leta sen fram objektet det gäller och klicka på ""Mer"" så finns valet där.Du avgör själv om du vill rapportera köparen eller inte, vår rekommendation är att rapportera om ni inte kommit överens om att häva affären.  Q: Hur lång tid efter att jag skickat meddelande till köparen rekommenderar ni att man väntar?A: Eftersom yttre omständigheter kan påverka så är vår rekommendation är att vänta minst 2-3 dagar. Hur länge du väljer att vänta är alltid upp till dig men tänk på att din motpart kanske inte har möjlighet att kolla sitt Traderakonto dagligen.Q: Vad händer med en köpare som blir rapporterad för utebliven betalning?A: Vid första rapporten skickas en varning, vid upprepat beteende efter varningen blir kontot avstängt mellan 1-6 månader. Avstängningstiden baseras på om det är första gången, hur många rapporter som inkommit samt flera andra faktorer.###"
"Frågor gällande en bokad frakt

###

", Vid avbokning av frakt kontakta vår kundservice Vid övriga frågor kontakta leverantören direktDB SchenkerDu hittar svar på de vanligaste frågorna och kontaktuppgifter i DB Schenkers kundservicePostNordDu hittar svar på de vanligaste frågorna och kontaktuppgifter i PostNords kundserviceBringDu hittar svar på de vanligaste frågorna och kontaktuppgifter i Brings kundserviceDHLDu hittar svar på de vanligaste frågorna och kontaktuppgifter i DHLs kundservice###
"Viktig information till dig som duplicerat annonser/listor i ProLister innan 7 nov

###

"," Om du jobbar med listor som har duplicerats eller innehåller duplicerade annonser från innan 7 november 2022 så rekommenderar vi att du duplicerar om listan. Om du inte gör det kan bilderna i de kopierade annonserna tyvärr försvinna från och med 28 nov, då släpper vi en ny version som gör att det ska gå snabbare att radera annonser. Vi ber om ursäkt för besväret!Gör så här:1. Duplicera listorna du vill spara (som har kopierade annonser från innan 7 nov)2. Listan som du duplicerade från kan du sedan ta bort.Om du är osäker kan du duplicera alla dina listor för säkerhetsskull och ta bort de gamla sedan.###"
"Vilka betalsätt har Traderas köparskydd?

###

"," Vad innebär köparskydd?Ett köparskydd innebär att du som köpare kan få tillbaka dina pengar om något skulle gå fel i affären. Är det så att varan till exempel inte kommer fram, är trasig eller felaktig kan du som köpare starta en tvist hos respektive betalningsförmedlare som kan hjälpa dig i ärendet. Betalar du utan köpskydd rekommenderar vi att du startar en dialog med säljaren för att tillsammans finna en lösning.Här kan du läsa mer om hur du startar en tvist.Betalsätt där köparskydd är obligatorisktKlarnaPaynova - FakturaPaynova - DelbetalningPayPalKöparskydd kostar 5% av totalbeloppet, minst 5kr max 750krBetalsätt där du kan lägga till köparskyddSwishKortbetalningGoogle PayApple PayKöparskydd kostar 5% av totalbeloppet, minst 5kr max 750krBetalsätt där du ej kan lägga till köparskyddSwish direkt till säljaren###"
"Nettoutbetalning

###

"," Provisionsavgifter, tillval och andra kostnader dras av direkt från inbetalningar till dig, det innebär att du oftast slipper få en faktura från oss.Vi kan i dagsläget inte dra av avgifter från Swish betalningar vilket kan innebära att du kan få en faktura om majoriteten av dina kunder betalar med Swish. Läsa mer om Nettoutbetalning###"
"Jag har betalt min faktura men den står som ""ej betald""?

###

"," Har det gått längre än 5 arbetsdagar sedan du betalade din faktura och den fortfarande är markerad som “Ej betald” behöver du kontrollera din betalning så att du angivit korrekt OCR-nummer och betalat till rätt mottagare. Du kan även kontakta vår kundservice via chatt för vidare hjälp.För att vi skall kunna hjälpa dig på bästa sätt, vänligen ange följande information:Datum och tid för betalningenExakt beloppBetalningssätt – (Swish, Kort eller via bank)Det kontonummer betalningen gjordes tillReferensen som angavs vid betalningen###"
"Hur fungerar valutor på Tradera?

###

"," Om du valt tex DKK som din valuta och bjuder på en auktion så kommer du skriva in ett bud i DKK, men vi konverterar det automatiskt till ett belopp i SEK. Samma gäller annonser med köp nu-pris och fraktkostnad, beloppet du ser i din valuta är konverterat från SEK. Valutan kan du ändra i inställningar.Växelkursen uppdateras löpande från European Central Bank. Det konverterade beloppen du ser kan därför ändras från dag till dag. Ex 100 DKK kan imorgon visas som 101 DKK.Bra att veta! Du betalar i SEK på Tradera därför tillkommer eventuellt 1-2% växlingsavgifter från din bank.###"
"Hur ändrar jag köpvillkoren i min butik? (Sello)

###

"," Logga in på ditt Sellokonto, klicka på ”Inställningar”, ditt alias, och till sist ”Butik”. Du kan inte ändra köpvillkoren på Tradera.###"
"Varför visar min pdf-faktura ett högre belopp än ”Att betala”?

###

"," Inne på fakturor finns det två olika summeringar hämtade från din faktura.Belopp - Samtliga avgifter och krediteringar fram till att fakturan skapades. Att betala - Samtliga avgifter och krediteringar fram till att fakturan skapades samt alla krediteringar och avgifter som dragits av efter att fakturan skapades.Det är alltid beloppet under ""Att betala"" som är det korrekta beloppet på din faktura.###"
"Falska e-postmeddelanden

###

"," Falska e-postmeddelanden, även så kallad phishing, innebär att man försöker lura någon genom att skicka falska mail där man utger sig för att vara ett företag eller liknande i syfte att lura till sig kreditkortsinformation, inloggningsuppgifter eller annan känslig information.Klicka aldrig på länkar i mejl som du känner dig osäker på.Vill du se ett exempel på ett falskt e-postmeddelande och få tips på hur du kan avslöja dem? Läs mer här###"
"Varför har ni stängt ner just min annons när det finns fler på sajten?

###

", På Tradera jobbar vi ständigt för att bibehålla en trygg marknadsplats och vi granskar annonser i ordning. Du kan anmäla annonser som strider mot reglerna till granskning. Vi vidtar åtgärder om dessa bryter mot våra regelverk. Läs mer om våra regler här!###
"Jag har blivit ombedd att skicka in underlag. Hur gör jag det?

###

"," Du har mottagit mejl med mer information om att vi begärt underlag. För att inkomma med underlag för Traderas granskning, klicka här och följ instruktionerna.###"
"Varför är min annons nedstängd?

###

", När din annons eller dina annonser avslutas informerar vi dig per mejl med mer information om regelbrottet. Har du ej mottagit detta rekommenderar vi att du kollar i inkorgen för skräppost. Du kan läsa mer om varför vi stänger annonser här!###
"DB Schenker - Prishöjning på grund av drivmedelstillägg.

###

"," Från och med den 7/4 så ökar kostnaden för samtliga försändelser med DB Schenker på grund av ökade drivmedelskostnader. För existerande annonser, köp nu och butiksannonser så gäller gamla priset. Vi kommer att justera priserna för butiksannonser som publicerats innan klockan 14:00 den 7/4 automatiskt, fram tills att priset är uppdaterat av oss så kommer dessa annonser även kunna köpa frakten för det tidigare priset. Om ni lagt upp nya auktioner, butiksannonser och köp nu annonser efter kl 14.00 den 7/4 med gamla fraktpriset så behöver ni själva justera dessa.Ni kan hitta de nya fraktpriserna på https://www.tradera.com/frakt###"
"Pennybridge - FAQ

###

"," Genom Traderas samarbete med Pennybridge blir det möjligt för våra medlemmar att sälja varor och skänka pengarna till en insamling. Pennybridge verifierar alla förmånstagare så att du kan du vara trygg med att pengarna hamnar i rätt händer.Ska säljaren betala något?Säljaren får betalt för frakten och köper den som vanligt. Därefter dras Traderas provision innan pengarna förmedlas till Pennybridge. Det enda som debiteras säljaren är tillval – om du väljer det. Adderar du inte tillval när du skapar annonsen kommer du inte att få någon faktura för annonser där du donerar hela summan.Hur går det till?Vid en försäljning med frakt får först säljaren fraktkostnaden utbetald till sig. Därefter dras Traderas provisionsavgift, 10 % inkl moms vilket gör att vi kan täcka våra kostnader och fortsätta erbjuda en cirkulär marknadsplats. Pennybridge förmedlar resten av beloppet direkt till organisationen och räknar sedan av 5 % av förmedlad summa.Både Pennybridge och Tradera tar som mest ut 200 kr vardera i avgift per annons.Klicka här för att läsa mer.Får jag en faktura från Tradera om jag bara sålt till förmån för en välgörenhet eller en förening?Som säljare blir du endast debiterad för eventuella tillval på dessa annonser, om du inte väljer några tillval så blir det inga avgifter för dig som säljer.Vem betalar för frakten?Köparen betalar som vanligt för annons + frakt, betalningen för fraktkostnaden går till dig som säljare och pengarna för varan går till Pennybridge. Kan jag lita på att Pennybridge förmedlar pengarna till rätt insamling?Pennybridge uppfyller Finansinspektionens krav och regler för betaltjänster och penningöverföring. De arbetar även enligt FN:s Global Compact och löpande överskott används för att sänka insamlingskostnaden. Vill du ansluta din organisation/insamling till Pennybridge? Klicka här.Till Pennybridges hemsida###"
"Vilket fraktsätt ska jag välja?

###

", För att se vad din försändelse kommer att kosta hos olika speditörer kan du använda vår fraktkalkylator. Svar på vanliga frågor och funderingar hittar du i vår fraktguide.Vi rekommenderar alltid att du skickar spårbart om varan kostar mer än 200 kr.###
"Hur skall jag packa på bästa sätt?

###

"," Det är viktigt att du paketerar rätt så att ditt objekt når köparen i bästa möjliga skick. Alla transportörer mer eller mindre avvisar skadeersättning på grund av dåligt emballage.Här kan du ta del av Traderas knep (och våra fraktpartners bästa tips):Välj en kartong eller en vadderad påse som är aningen större än objektet du ska skicka, så att du även får plats med skyddande material, t.ex. bubbelplast. Ofta kan du köpa ett passande emballage av fraktleverantörerna, i vissa fall ingår detta i priset. Om du inte har bubbelplast hemma kan du återanvända gamla tidningar som emballage för att t.ex. linda in glas i. Täck objektet med bubbelplast, papper eller annat skyddande material du redan har hemma, så att varan inte rör sig och blir skadat i kartongen.Använd en bred tejp när du stänger kartongen. Om kartongen är sliten, förstärk med tejp där det behövs.Var noga med att tydligt ange mottagarens adress på kartongen. Ange även din returadress. Om du återanvänder en kartong, försäkra dig om att inga gamla adressetiketter finns på paketet (var noga med att täcka alla tidigare adressuppgifter med en svart penna).Lägg gärna med en utskriven orderbekräftelse i paketet så att din köpare kan kontrollera att rätt objekt har skickats.Skapa möjlighet till återkommande affärer – lägg i ett visitkort med ditt alias där du tackar köparen för affären.Kolla in våra packningstips här###"
